time,gFx,gFy,gFz,TgF
1.303714,0.6951,0.0664,0.7401,1.017
1.305682,0.6975,0.0650,0.7406,1.019
1.308214,0.6978,0.0635,0.7420,1.021
1.311143,0.7000,0.0603,0.7398,1.020
1.313393,0.7036,0.0628,0.7403,1.023
1.316554,0.7029,0.0598,0.7379,1.021
1.318231,0.7048,0.0598,0.7398,1.024
1.321080,0.7026,0.0613,0.7369,1.020
1.323491,0.7002,0.0620,0.7362,1.018
1.325630,0.7014,0.0642,0.7354,1.018
1.328301,0.6973,0.0667,0.7345,1.015
1.333429,0.6980,0.0701,0.7357,1.017
1.334454,0.6956,0.0738,0.7357,1.015
1.335724,0.6936,0.0726,0.7364,1.014
1.338014,0.6936,0.0760,0.7381,1.016
1.341316,0.6909,0.0784,0.7381,1.014
1.342881,0.6909,0.0796,0.7386,1.015
1.345597,0.6904,0.0769,0.7347,1.011
1.349735,0.6897,0.0804,0.7384,1.014
1.351125,0.6902,0.0789,0.7371,1.013
1.353111,0.6895,0.0796,0.7369,1.012
1.356562,0.6890,0.0806,0.7347,1.010
1.357613,0.6897,0.0777,0.7359,1.012
1.361183,0.6907,0.0757,0.7354,1.012
1.362775,0.6892,0.0769,0.7332,1.009
1.366773,0.6902,0.0747,0.7301,1.007
1.367955,0.6904,0.0757,0.7308,1.008
1.370592,0.6897,0.0772,0.7340,1.010
1.372673,0.6904,0.0740,0.7349,1.011
1.374888,0.6895,0.0738,0.7357,1.011
1.377544,0.6914,0.0745,0.7342,1.011
1.380596,0.6899,0.0730,0.7349,1.011
1.384902,0.6907,0.0701,0.7376,1.013
1.385857,0.6917,0.0750,0.7393,1.015
1.387442,0.6931,0.0735,0.7410,1.017
1.389796,0.6978,0.0738,0.7423,1.021
1.392196,0.6982,0.0723,0.7413,1.021
1.395222,0.6968,0.0723,0.7420,1.020
1.406895,0.6997,0.0708,0.7398,1.021
1.407810,0.7012,0.0713,0.7413,1.023
1.408283,0.7031,0.0699,0.7418,1.024
1.408733,0.7044,0.0708,0.7406,1.024
1.409190,0.7029,0.0689,0.7391,1.022
1.409648,0.7022,0.0694,0.7384,1.021
1.412039,0.7009,0.0711,0.7381,1.020
1.423688,0.7000,0.0691,0.7366,1.019
1.424451,0.6997,0.0691,0.7335,1.016
