time,wx (rad/s),wy (rad/s),wz (rad/s)
1.068538,-0.00,0.02,-0.00
1.069975,-0.00,0.02,-0.00
1.088435,-0.00,0.02,-0.00
1.089895,-0.00,0.02,-0.00
1.090197,-0.00,0.02,-0.00
1.090499,0.00,0.02,-0.01
1.090785,-0.00,0.02,-0.01
1.091052,0.01,0.02,-0.00
1.091420,0.01,0.01,-0.00
1.091704,-0.00,0.02,-0.01
1.093070,0.00,0.02,-0.01
1.094492,-0.00,0.02,-0.01
1.098186,0.00,0.02,-0.01
1.100114,0.00,0.02,-0.01
1.101730,0.00,0.02,-0.01
1.104514,0.00,0.02,-0.01
1.107929,0.01,0.02,-0.01
1.110591,0.01,0.02,-0.01
1.112952,0.00,0.02,-0.01
1.114434,0.00,0.02,-0.01
1.117482,0.01,0.02,-0.01
1.120065,0.00,0.02,-0.01
1.124813,0.01,0.02,-0.01
1.125940,0.01,0.02,-0.01
1.128099,0.00,0.02,-0.01
1.130003,0.01,0.02,-0.02
1.132796,0.00,0.02,-0.02
1.135927,0.01,0.02,-0.02
1.137181,0.01,0.02,-0.02
1.142758,0.01,0.02,-0.02
1.143688,0.01,0.02,-0.01
1.145708,0.01,0.02,-0.02
1.148813,0.01,0.02,-0.02
1.149253,0.01,0.02,-0.02
1.151984,0.01,0.02,-0.01
1.153994,0.01,0.02,-0.01
1.158727,0.01,0.01,-0.02
1.160129,0.00,0.01,-0.01
1.161342,0.01,0.01,-0.01
1.163915,0.01,0.01,-0.01
1.166817,0.01,0.01,-0.01
1.170270,0.01,0.01,-0.01
1.181150,0.01,0.01,-0.01
1.182042,0.01,0.00,-0.01
1.182476,0.01,0.00,-0.01
1.183168,0.01,-0.00,-0.01
1.183519,0.01,-0.00,-0.01
1.184679,0.01,-0.00,-0.01
1.186048,0.01,-0.01,-0.01
1.188645,0.01,-0.01,-0.01
1.203892,0.01,-0.01,-0.01
1.205113,0.01,-0.01,-0.01
1.205615,0.01,-0.01,-0.00
1.205939,0.01,-0.01,-0.00
1.206350,0.01,-0.01,-0.00
1.206873,0.01,-0.01,-0.00
1.207307,0.01,-0.01,-0.00
1.213459,0.01,-0.01,-0.00
1.214274,0.01,-0.01,-0.00
1.214571,0.01,-0.01,-0.00
1.216775,0.01,-0.01,-0.00
1.219668,0.00,-0.01,-0.00
1.221175,0.01,-0.01,-0.00
1.225058,0.00,-0.01,-0.00
1.226910,0.00,-0.01,-0.00
1.229680,0.00,-0.01,-0.00
1.231512,0.00,-0.01,-0.00
1.233213,0.00,-0.01,-0.00
1.235248,0.00,-0.01,-0.00
1.237669,0.00,-0.01,-0.00
1.241672,0.00,-0.01,-0.00
1.243924,-0.00,-0.00,-0.00
1.245187,-0.00,-0.00,-0.00
1.247847,-0.00,-0.01,-0.00
1.250834,-0.00,-0.01,-0.00
1.253913,0.00,-0.01,-0.00
1.255997,-0.00,-0.01,-0.01
1.260027,-0.00,-0.01,-0.01
1.260658,-0.00,-0.01,-0.01
1.262487,-0.01,-0.01,-0.01
1.266484,-0.00,-0.01,-0.01
1.268422,-0.00,-0.01,-0.01
1.269866,-0.00,-0.01,-0.00
1.274193,-0.01,-0.01,-0.01
1.274837,-0.01,-0.01,-0.01
1.278528,-0.01,-0.00,-0.00
1.281466,-0.01,-0.01,-0.01
1.282074,-0.01,-0.00,-0.00
1.284955,-0.01,-0.00,-0.00
1.289010,-0.01,-0.00,-0.00
1.299615,-0.01,-0.00,-0.00
1.300775,-0.01,-0.00,-0.00
1.301240,-0.01,0.00,-0.00
1.301649,-0.01,0.00,-0.01
1.302307,-0.01,0.00,-0.00
1.303276,-0.01,0.00,-0.01
1.321621,-0.01,0.00,-0.00
1.322696,-0.01,0.00,-0.00
1.322904,-0.02,0.00,-0.00
1.323119,-0.02,-0.00,-0.00
1.323320,-0.01,-0.00,-0.00
1.323514,-0.01,-0.00,-0.00
1.323700,-0.02,-0.00,-0.00
1.323885,-0.01,-0.00,-0.00
1.326151,-0.02,-0.00,-0.00
