time,wx (rad/s),wy (rad/s),wz (rad/s)
1.452257,0.54,-0.68,-0.36
1.455289,0.55,-0.69,-0.37
1.458414,0.55,-0.70,-0.37
1.459153,0.55,-0.71,-0.37
1.461761,0.55,-0.72,-0.37
1.464052,0.54,-0.72,-0.36
1.467412,0.53,-0.71,-0.35
1.471804,0.52,-0.70,-0.32
1.472587,0.50,-0.69,-0.30
1.473754,0.48,-0.68,-0.26
1.476885,0.46,-0.68,-0.22
1.480086,0.44,-0.67,-0.18
1.481804,0.42,-0.67,-0.15
1.483615,0.41,-0.66,-0.12
1.488571,0.39,-0.64,-0.10
1.490050,0.37,-0.62,-0.10
1.492219,0.36,-0.60,-0.10
1.493995,0.36,-0.59,-0.09
1.496277,0.36,-0.58,-0.09
1.498474,0.36,-0.57,-0.08
1.512379,0.36,-0.56,-0.06
1.513278,0.37,-0.55,-0.04
1.513764,0.37,-0.53,-0.03
1.514150,0.38,-0.51,-0.02
1.514684,0.38,-0.49,-0.02
1.515056,0.39,-0.47,-0.03
1.516864,0.41,-0.45,-0.04
1.518639,0.43,-0.42,-0.07
1.544268,0.46,-0.39,-0.09
1.545879,0.48,-0.37,-0.12
1.546313,0.51,-0.34,-0.14
1.546654,0.53,-0.31,-0.17
1.546983,0.55,-0.28,-0.19
1.547307,0.56,-0.26,-0.21
1.547777,0.58,-0.23,-0.22
1.548174,0.59,-0.21,-0.23
1.548564,0.59,-0.20,-0.24
1.549553,0.59,-0.19,-0.24
1.550124,0.59,-0.18,-0.23
1.550512,0.59,-0.19,-0.22
1.552283,0.58,-0.20,-0.22
1.553945,0.57,-0.21,-0.20
1.555202,0.55,-0.23,-0.20
1.561277,0.53,-0.25,-0.19
1.562134,0.51,-0.26,-0.19
1.563894,0.49,-0.28,-0.19
1.566079,0.46,-0.28,-0.19
1.567870,0.43,-0.29,-0.21
1.572448,0.39,-0.30,-0.23
1.575705,0.37,-0.30,-0.25
1.576100,0.34,-0.30,-0.27
1.578423,0.33,-0.30,-0.29
1.579654,0.31,-0.30,-0.30
1.582080,0.30,-0.28,-0.30
1.588217,0.30,-0.27,-0.31
1.589249,0.30,-0.25,-0.31
1.589908,0.30,-0.22,-0.31
1.591959,0.29,-0.19,-0.30
1.594387,0.29,-0.15,-0.30
1.598694,0.28,-0.12,-0.30
1.600947,0.28,-0.09,-0.30
1.602196,0.28,-0.07,-0.30
1.604929,0.27,-0.04,-0.30
1.607325,0.27,-0.03,-0.30
1.610753,0.27,-0.02,-0.30
1.613145,0.27,-0.01,-0.31
1.614260,0.27,-0.02,-0.31
1.616818,0.28,-0.03,-0.32
1.625292,0.28,-0.05,-0.32
1.625868,0.28,-0.06,-0.33
1.626046,0.29,-0.08,-0.34
1.626241,0.29,-0.11,-0.34
1.629287,0.31,-0.13,-0.35
1.631516,0.31,-0.16,-0.36
1.634897,0.33,-0.19,-0.36
1.646383,0.34,-0.21,-0.37
1.647478,0.36,-0.23,-0.37
1.647915,0.36,-0.24,-0.37
1.648147,0.38,-0.24,-0.38
1.648340,0.39,-0.24,-0.38
1.655488,0.41,-0.24,-0.38
1.656132,0.41,-0.23,-0.38
1.656327,0.43,-0.22,-0.38
1.659917,0.44,-0.20,-0.38
1.660159,0.46,-0.19,-0.38
1.662145,0.46,-0.16,-0.38
1.663374,0.47,-0.14,-0.38
1.666015,0.48,-0.12,-0.38
1.672111,0.48,-0.10,-0.38
1.673063,0.48,-0.08,-0.38
1.674070,0.48,-0.06,-0.39
1.675951,0.48,-0.04,-0.39
1.678494,0.48,-0.03,-0.39
1.682278,0.47,-0.01,-0.39
1.684412,0.47,-0.00,-0.40
1.688133,0.47,0.00,-0.40
